appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,appid
201810,Wolfenstein: The New Order,2014-05-19,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action,FPS;Action;Shooter,26727,3011,630,201810
266030,DRAKERZ-Confrontation,2014-05-19,Single-player;Multi-player,Free to Play;Indie;Strategy,Free to Play;Strategy;Card Game,130,125,12,266030
290040,Retro Game Crunch,2014-05-19,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Adventure;Indie,Indie;Action;Adventure,259,60,137,290040
237930,Transistor,2014-05-20,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie;RPG,Great Soundtrack;Female Protagonist;Indie,22158,1162,352,237930
279540,Pretentious Game,2014-05-20,Single-player,Casual;Indie,Indie;Casual;Platformer,220,61,27,279540
284390,The Last Door - Collector's Edition,2014-05-20,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Adventure;Indie,Pixel Graphics;Point & Click;Horror,1284,72,39,284390
295250,Stranded,2014-05-20,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Point & Click,124,270,0,295250
239430,Q.U.B.E: Director's Cut,2014-05-21,Single-player;Steam Achievements;VR Support;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Indie,Puzzle;Indie;First-Person,1194,217,76,239430
255390,Max: The Curse of Brotherhood,2014-05-21,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure,Adventure;Platformer;Puzzle,968,53,0,255390
262410,World of Guns: Gun Disassembly,2014-05-21,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases,Free to Play;Indie;Simulation,Free to Play;Simulation;Shooter,11178,2300,43,262410
263760,Turbo Dismount™,2014-05-21,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,Action;Indie;Simulation,Funny;Simulation;Physics,3800,346,391,263760
274310,Always Sometimes Monsters,2014-05-21,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;RPG,RPGMaker;Indie;RPG,1684,550,426,274310
285310,RollerCoaster Tycoon®: Deluxe,2014-05-21,Single-player,Simulation;Strategy,Simulation;Management;Classic,3049,226,346,285310
285330,RollerCoaster Tycoon® 2: Triple Thrill Pack,2014-05-21,Single-player,Simulation;Strategy,Simulation;Management;Classic,2086,336,262,285330
291910,Firefighters 2014,2014-05-21,Single-player;Steam Achievements,Action;Simulation,Simulation;Action;First-Person,245,204,0,291910
295610,Inescapable,2014-05-21,Single-player;Full controller support;Steam Cloud,Action;Adventure;Indie,Adventure;Indie;Action,47,71,0,295610
299420,CubeGun,2014-05-21,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Free to Play;Indie;Early Access,Early Access;Free to Play;Sandbox,193,115,0,299420
300220,Victim of Xen,2014-05-21,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Casual;RPG,RPGMaker;RPG;Adventure,265,163,308,300220
9940,Blade Kitten,2014-05-22,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure,Anime;Platformer;Female Protagonist,746,149,360,9940
268200,Antisquad,2014-05-22,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure;Strategy,Strategy;Turn-Based;Action,149,122,162,268200
275610,"Warhammer 40,000: Kill Team",2014-05-22,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Action;Warhammer 40K;Local Co-Op,466,389,0,275610
277630,Panzer Tactics HD,2014-05-22,Single-player;Steam Achievements,Simulation;Strategy,Strategy;Simulation;World War II,93,36,0,277630
289180,A.I.M.2 Clan Wars,2014-05-22,Single-player;Steam Cloud,Action;RPG;Simulation,RPG;Simulation;Action,219,65,0,289180
289240,Perimeter: Emperor's Testament,2014-05-22,Single-player;Multi-player;Steam Cloud,Strategy,Strategy;RTS;Sci-fi,10,7,0,289240
293860,White Noise Online,2014-05-22,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Horror;Indie;Adventure,342,211,0,293860
